Transaction ID,Customer ID,Purchase Date,Product Name,Product Category,Quantity,Purchase Amount,Age,Gender,City,State,Latitude,Longitude,Website Visits,Email Opens,Customer Satisfaction Score
TXN-12328,CUST-0193,2024-09-06,Chef Knife Set,Home & Kitchen,2,302.91,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-13986,CUST-0023,2024-09-06,Smartphone,Electronics,1,787.33,38,Female,San Francisco,CA,37.7749,-122.4194,47,49,5
TXN-11553,CUST-0082,2024-09-08,Keyboard & Mouse,Electronics,2,169.67,32,Male,Seattle,WA,47.6062,-122.3321,119,83,5
TXN-13792,CUST-0336,2024-09-08,Self-Improvement Guide,Books,2,37.79,37,Male,Boston,MA,42.3601,-71.0589,30,29,4
TXN-12376,CUST-0222,2024-09-09,Fantasy Novel,Books,1,18.49,50,Male,Chicago,IL,41.8781,-87.6298,30,55,4
TXN-11843,CUST-0491,2024-09-11,Headphones,Electronics,1,135.63,35,Male,Los Angeles,CA,34.0522,-118.2437,34,46,4
TXN-10671,CUST-0082,2024-09-13,Jeans,Apparel,1,77.52,32,Male,Seattle,WA,47.6062,-122.3321,119,83,5
TXN-10683,CUST-0428,2024-09-14,Monitor,Electronics,1,318.89,25,Male,Miami,FL,25.7617,-80.1918,65,34,4
TXN-13408,CUST-0139,2024-09-15,Smartwatch,Electronics,1,236.85,34,Female,New York,NY,40.7128,-74.006,73,31,5
TXN-10401,CUST-0024,2024-09-21,Blender,Home & Kitchen,2,178.63,23,Female,New York,NY,40.7128,-74.006,64,61,4
TXN-13746,CUST-0316,2024-09-21,Dior Perfume,Beauty & Health,2,228.35,31,Female,Seattle,WA,47.6062,-122.3321,47,52,3
TXN-10265,CUST-0259,2024-09-22,Air Fryer,Home & Kitchen,2,232.78,41,Male,Los Angeles,CA,34.0522,-118.2437,94,60,5
TXN-11127,CUST-0462,2024-09-23,Robot Vacuum,Home & Kitchen,2,594.09,32,Male,Chicago,IL,41.8781,-87.6298,106,33,5
TXN-11000,CUST-0435,2024-09-24,Hair Dryer,Beauty & Health,1,85.67,45,Female,Austin,TX,30.2672,-97.7431,71,46,5
TXN-12788,CUST-0189,2024-09-24,Hoodie,Apparel,1,62.01,55,Female,New York,NY,40.7128,-74.006,59,40,5
TXN-10422,CUST-0189,2024-09-28,Electric Toothbrush,Beauty & Health,2,166.46,55,Female,New York,NY,40.7128,-74.006,59,40,5
TXN-11899,CUST-0158,2024-10-01,Designer Jacket,Apparel,1,169.34,50,Male,Chicago,IL,41.8781,-87.6298,72,55,4
TXN-10431,CUST-0402,2024-10-02,Fantasy Novel,Books,1,18.11,49,Male,Chicago,IL,41.8781,-87.6298,43,53,3
TXN-13274,CUST-0121,2024-10-04,Monitor,Electronics,1,329.75,33,Male,Miami,FL,25.7617,-80.1918,79,53,5
TXN-13845,CUST-0004,2024-10-04,Electric Toothbrush,Beauty & Health,3,279.93,56,Male,New York,NY,40.7128,-74.006,108,86,4
TXN-10875,CUST-0497,2024-10-06,Designer Jacket,Apparel,3,536.08,24,Male,Chicago,IL,41.8781,-87.6298,62,80,5
TXN-10876,CUST-0497,2024-10-06,Sunglasses,Apparel,1,137.56,24,Male,Chicago,IL,41.8781,-87.6298,62,80,5
TXN-10316,CUST-0463,2024-10-08,Multivitamins,Beauty & Health,2,47.53,35,Male,Los Angeles,CA,34.0522,-118.2437,105,85,5
TXN-10735,CUST-0463,2024-10-10,Smartwatch,Electronics,1,256.93,35,Male,Los Angeles,CA,34.0522,-118.2437,105,85,5
TXN-12499,CUST-0030,2024-10-10,Fantasy Novel,Books,2,41.33,36,Male,Seattle,WA,47.6062,-122.3321,28,47,4
TXN-13857,CUST-0339,2024-10-10,Headphones,Electronics,1,138.03,45,Male,Miami,FL,25.7617,-80.1918,58,46,5
TXN-12338,CUST-0150,2024-10-11,Leadership Biography,Books,4,116.69,28,Female,Boston,MA,42.3601,-71.0589,87,89,5
TXN-10199,CUST-0193,2024-10-14,Multivitamins,Beauty & Health,2,47.0,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-11979,CUST-0126,2024-10-14,Sports T-Shirt,Apparel,1,33.95,27,Female,New York,NY,40.7128,-74.006,104,47,5
TXN-12534,CUST-0030,2024-10-14,Smartwatch,Electronics,2,512.12,36,Male,Seattle,WA,47.6062,-122.3321,28,47,4
TXN-10286,CUST-0351,2024-10-15,Keyboard & Mouse,Electronics,1,72.66,55,Non-binary,Chicago,IL,41.8781,-87.6298,74,22,5
TXN-10293,CUST-0069,2024-10-15,Smartwatch,Electronics,2,482.13,21,Male,Boston,MA,42.3601,-71.0589,61,55,4
TXN-12571,CUST-0339,2024-10-15,Sunglasses,Apparel,1,128.28,45,Male,Miami,FL,25.7617,-80.1918,58,46,5
TXN-14021,CUST-0082,2024-10-15,Hair Dryer,Beauty & Health,3,278.21,32,Male,Seattle,WA,47.6062,-122.3321,119,83,5
TXN-11172,CUST-0213,2024-10-16,Sunglasses,Apparel,2,296.54,26,Female,Orlando,FL,28.5383,-81.3792,115,85,5
TXN-14028,CUST-0022,2024-10-16,SaaS Marketing Playbook,Books,1,25.33,55,Male,Miami,FL,25.7617,-80.1918,76,48,4
TXN-12434,CUST-0186,2024-10-18,Smartphone,Electronics,1,790.94,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-14006,CUST-0428,2024-10-19,Skincare Serum,Beauty & Health,3,184.63,25,Male,Miami,FL,25.7617,-80.1918,65,34,4
TXN-10981,CUST-0463,2024-10-20,Leadership Biography,Books,1,30.18,35,Male,Los Angeles,CA,34.0522,-118.2437,105,85,5
TXN-13865,CUST-0022,2024-10-20,Leadership Biography,Books,1,30.74,55,Male,Miami,FL,25.7617,-80.1918,76,48,4
TXN-13027,CUST-0083,2024-10-21,Self-Improvement Guide,Books,1,16.94,49,Female,Chicago,IL,41.8781,-87.6298,56,33,5
TXN-10438,CUST-0412,2024-10-25,Monitor,Electronics,2,734.54,41,Male,Orlando,FL,28.5383,-81.3792,25,37,4
TXN-13385,CUST-0189,2024-10-27,Air Fryer,Home & Kitchen,2,216.29,55,Female,New York,NY,40.7128,-74.006,59,40,5
TXN-13239,CUST-0186,2024-10-28,Monitor,Electronics,1,362.71,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-13376,CUST-0384,2024-10-30,Multivitamins,Beauty & Health,1,27.59,30,Female,Houston,TX,29.7604,-95.3698,112,76,4
TXN-11164,CUST-0346,2024-11-01,Air Fryer,Home & Kitchen,1,111.62,42,Male,Chicago,IL,41.8781,-87.6298,51,25,5
TXN-13525,CUST-0408,2024-11-01,Keyboard & Mouse,Electronics,1,82.28,43,Male,Miami,FL,25.7617,-80.1918,60,85,5
TXN-13386,CUST-0056,2024-11-02,Smartphone,Electronics,1,887.71,41,Male,Austin,TX,30.2672,-97.7431,63,41,5
TXN-11679,CUST-0297,2024-11-03,Dior Perfume,Beauty & Health,2,211.23,43,Male,Houston,TX,29.7604,-95.3698,104,73,5
TXN-12789,CUST-0087,2024-11-03,Leadership Biography,Books,2,62.67,66,Male,Chicago,IL,41.8781,-87.6298,48,16,5
TXN-13542,CUST-0339,2024-11-03,Hair Dryer,Beauty & Health,3,282.52,45,Male,Miami,FL,25.7617,-80.1918,58,46,5
TXN-12503,CUST-0004,2024-11-04,Dior Perfume,Beauty & Health,1,119.41,56,Male,New York,NY,40.7128,-74.006,108,86,4
TXN-13920,CUST-0435,2024-11-04,Multivitamins,Beauty & Health,1,24.01,45,Female,Austin,TX,30.2672,-97.7431,71,46,5
TXN-11868,CUST-0336,2024-11-06,Robot Vacuum,Home & Kitchen,1,297.44,37,Male,Boston,MA,42.3601,-71.0589,30,29,4
TXN-10233,CUST-0308,2024-11-09,Self-Improvement Guide,Books,2,34.81,43,Female,New York,NY,40.7128,-74.006,38,52,4
TXN-13370,CUST-0412,2024-11-09,Keyboard & Mouse,Electronics,1,72.14,41,Male,Orlando,FL,28.5383,-81.3792,25,37,4
TXN-13230,CUST-0140,2024-11-10,Machine Learning Basics,Books,1,47.04,30,Female,Chicago,IL,41.8781,-87.6298,55,35,5
TXN-13964,CUST-0357,2024-11-10,Sports T-Shirt,Apparel,1,39.49,26,Male,Chicago,IL,41.8781,-87.6298,52,52,5
TXN-13576,CUST-0094,2024-11-13,Air Fryer,Home & Kitchen,1,110.74,22,Female,Orlando,FL,28.5383,-81.3792,27,45,4
TXN-13452,CUST-0463,2024-11-14,Keyboard & Mouse,Electronics,1,78.96,35,Male,Los Angeles,CA,34.0522,-118.2437,105,85,5
TXN-13946,CUST-0213,2024-11-14,Hoodie,Apparel,4,234.54,26,Female,Orlando,FL,28.5383,-81.3792,115,85,5
TXN-10985,CUST-0004,2024-11-15,Hoodie,Apparel,3,205.89,56,Male,New York,NY,40.7128,-74.006,108,86,4
TXN-11143,CUST-0477,2024-11-15,Leadership Biography,Books,2,57.74,34,Male,San Francisco,CA,37.7749,-122.4194,72,49,3
TXN-11154,CUST-0325,2024-11-16,Electric Toothbrush,Beauty & Health,2,191.53,36,Male,Chicago,IL,41.8781,-87.6298,59,70,5
TXN-11582,CUST-0435,2024-11-18,Sunglasses,Apparel,1,131.81,45,Female,Austin,TX,30.2672,-97.7431,71,46,5
TXN-11114,CUST-0336,2024-11-20,Sunglasses,Apparel,1,136.75,37,Male,Boston,MA,42.3601,-71.0589,30,29,4
TXN-12147,CUST-0359,2024-11-20,Headphones,Electronics,1,147.76,33,Female,Houston,TX,29.7604,-95.3698,55,31,5
TXN-11665,CUST-0497,2024-11-22,Air Fryer,Home & Kitchen,3,409.53,24,Male,Chicago,IL,41.8781,-87.6298,62,80,5
TXN-11325,CUST-0338,2024-11-23,Sports T-Shirt,Apparel,1,39.58,40,Male,Austin,TX,30.2672,-97.7431,66,33,5
TXN-13259,CUST-0486,2024-11-23,Monitor,Electronics,2,662.08,48,Female,Los Angeles,CA,34.0522,-118.2437,62,16,5
TXN-10903,CUST-0088,2024-11-24,Sunglasses,Apparel,2,274.7,34,Female,New York,NY,40.7128,-74.006,67,75,5
TXN-12102,CUST-0336,2024-11-24,Dior Perfume,Beauty & Health,1,102.3,37,Male,Boston,MA,42.3601,-71.0589,30,29,4
TXN-12888,CUST-0262,2024-11-24,Sports T-Shirt,Apparel,2,67.91,42,Female,Houston,TX,29.7604,-95.3698,28,54,4
TXN-13636,CUST-0392,2024-11-25,Skincare Serum,Beauty & Health,1,66.71,53,Female,Boston,MA,42.3601,-71.0589,56,50,4
TXN-11960,CUST-0193,2024-11-26,Machine Learning Basics,Books,2,89.61,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-14087,CUST-0333,2024-11-26,Air Fryer,Home & Kitchen,1,120.28,53,Male,Boston,MA,42.3601,-71.0589,55,41,4
TXN-11925,CUST-0333,2024-11-27,Mug Set,Home & Kitchen,1,28.82,53,Male,Boston,MA,42.3601,-71.0589,55,41,4
TXN-13834,CUST-0346,2024-11-28,Multivitamins,Beauty & Health,1,25.11,42,Male,Chicago,IL,41.8781,-87.6298,51,25,5
TXN-14042,CUST-0259,2024-11-28,Electric Toothbrush,Beauty & Health,1,86.43,41,Male,Los Angeles,CA,34.0522,-118.2437,94,60,5
TXN-12575,CUST-0285,2024-11-30,Sports T-Shirt,Apparel,2,73.47,24,Female,San Francisco,CA,37.7749,-122.4194,26,24,4
TXN-11320,CUST-0392,2024-12-01,Laptop,Electronics,1,1140.87,53,Female,Boston,MA,42.3601,-71.0589,56,50,4
TXN-11776,CUST-0008,2024-12-01,Fantasy Novel,Books,2,38.31,25,Female,Chicago,IL,41.8781,-87.6298,97,53,5
TXN-13756,CUST-0284,2024-12-02,Sneakers,Apparel,2,208.87,57,Female,Boston,MA,42.3601,-71.0589,63,36,4
TXN-10010,CUST-0497,2024-12-03,Machine Learning Basics,Books,3,142.1,24,Male,Chicago,IL,41.8781,-87.6298,62,80,5
TXN-11081,CUST-0361,2024-12-03,Dior Perfume,Beauty & Health,1,108.47,24,Female,Austin,TX,30.2672,-97.7431,28,27,5
TXN-11373,CUST-0423,2024-12-04,SaaS Marketing Playbook,Books,1,25.73,39,Female,Orlando,FL,28.5383,-81.3792,39,37,4
TXN-11425,CUST-0355,2024-12-04,Sunglasses,Apparel,2,275.67,51,Female,New York,NY,40.7128,-74.006,69,33,4
TXN-10827,CUST-0140,2024-12-05,Robot Vacuum,Home & Kitchen,1,296.78,30,Female,Chicago,IL,41.8781,-87.6298,55,35,5
TXN-10610,CUST-0412,2024-12-07,Leadership Biography,Books,1,29.08,41,Male,Orlando,FL,28.5383,-81.3792,25,37,4
TXN-11063,CUST-0320,2024-12-09,Chef Knife Set,Home & Kitchen,3,461.8,28,Male,Houston,TX,29.7604,-95.3698,41,38,4
TXN-10043,CUST-0303,2024-12-10,Sports T-Shirt,Apparel,1,34.95,31,Female,New York,NY,40.7128,-74.006,60,26,4
TXN-10567,CUST-0186,2024-12-10,Espresso Machine,Home & Kitchen,1,418.47,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-10568,CUST-0186,2024-12-10,Mug Set,Home & Kitchen,1,30.86,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-12074,CUST-0316,2024-12-10,Headphones,Electronics,2,288.33,31,Female,Seattle,WA,47.6062,-122.3321,47,52,3
TXN-13688,CUST-0115,2024-12-10,Sunglasses,Apparel,2,292.92,35,Female,Seattle,WA,47.6062,-122.3321,82,31,5
TXN-10395,CUST-0140,2024-12-12,Blender,Home & Kitchen,1,86.07,30,Female,Chicago,IL,41.8781,-87.6298,55,35,5
TXN-11380,CUST-0069,2024-12-12,Leadership Biography,Books,1,27.59,21,Male,Boston,MA,42.3601,-71.0589,61,55,4
TXN-10834,CUST-0484,2024-12-15,Chef Knife Set,Home & Kitchen,1,137.93,48,Male,Miami,FL,25.7617,-80.1918,71,31,5
TXN-11394,CUST-0145,2024-12-15,Headphones,Electronics,2,294.03,34,Male,Boston,MA,42.3601,-71.0589,73,18,5
TXN-10132,CUST-0333,2024-12-17,Multivitamins,Beauty & Health,1,22.93,53,Male,Boston,MA,42.3601,-71.0589,55,41,4
TXN-10573,CUST-0004,2024-12-17,Smartphone,Electronics,1,774.96,56,Male,New York,NY,40.7128,-74.006,108,86,4
TXN-12587,CUST-0351,2024-12-17,Hair Dryer,Beauty & Health,2,192.1,55,Non-binary,Chicago,IL,41.8781,-87.6298,74,22,5
TXN-12943,CUST-0150,2024-12-17,Keyboard & Mouse,Electronics,1,76.65,28,Female,Boston,MA,42.3601,-71.0589,87,89,5
TXN-13925,CUST-0362,2024-12-17,Self-Improvement Guide,Books,2,35.12,25,Male,Los Angeles,CA,34.0522,-118.2437,58,25,4
TXN-12352,CUST-0259,2024-12-19,Smartwatch,Electronics,2,498.89,41,Male,Los Angeles,CA,34.0522,-118.2437,94,60,5
TXN-10220,CUST-0115,2024-12-21,Blender,Home & Kitchen,2,192.63,35,Female,Seattle,WA,47.6062,-122.3321,82,31,5
TXN-11660,CUST-0363,2024-12-22,Dior Perfume,Beauty & Health,1,112.93,30,Male,San Francisco,CA,37.7749,-122.4194,62,31,3
TXN-12278,CUST-0402,2024-12-22,Blender,Home & Kitchen,1,89.79,49,Male,Chicago,IL,41.8781,-87.6298,43,53,3
TXN-11300,CUST-0087,2024-12-23,Keyboard & Mouse,Electronics,2,144.49,66,Male,Chicago,IL,41.8781,-87.6298,48,16,5
TXN-10532,CUST-0308,2024-12-24,Jeans,Apparel,2,142.77,43,Female,New York,NY,40.7128,-74.006,38,52,4
TXN-13975,CUST-0363,2024-12-24,Dior Perfume,Beauty & Health,1,100.79,30,Male,San Francisco,CA,37.7749,-122.4194,62,31,3
TXN-11674,CUST-0242,2024-12-26,Smartphone,Electronics,1,798.28,18,Female,Miami,FL,25.7617,-80.1918,45,24,4
TXN-11586,CUST-0405,2024-12-28,Designer Jacket,Apparel,1,188.57,35,Female,Orlando,FL,28.5383,-81.3792,65,20,3
TXN-12404,CUST-0126,2024-12-29,Fantasy Novel,Books,2,43.78,27,Female,New York,NY,40.7128,-74.006,104,47,5
TXN-12683,CUST-0339,2024-12-29,Smartphone,Electronics,2,1641.38,45,Male,Miami,FL,25.7617,-80.1918,58,46,5
TXN-11039,CUST-0052,2024-12-30,Chef Knife Set,Home & Kitchen,3,412.05,32,Male,New York,NY,40.7128,-74.006,28,59,5
TXN-13036,CUST-0061,2024-12-30,Designer Jacket,Apparel,2,352.02,38,Male,Boston,MA,42.3601,-71.0589,32,59,4
TXN-13092,CUST-0363,2024-12-30,Multivitamins,Beauty & Health,1,24.65,30,Male,San Francisco,CA,37.7749,-122.4194,62,31,3
TXN-10289,CUST-0428,2025-01-01,Jeans,Apparel,2,126.15,25,Male,Miami,FL,25.7617,-80.1918,65,34,4
TXN-11676,CUST-0189,2025-01-01,Mug Set,Home & Kitchen,2,55.59,55,Female,New York,NY,40.7128,-74.006,59,40,5
TXN-10322,CUST-0357,2025-01-03,Leadership Biography,Books,1,31.54,26,Male,Chicago,IL,41.8781,-87.6298,52,52,5
TXN-11684,CUST-0462,2025-01-03,Sneakers,Apparel,3,356.02,32,Male,Chicago,IL,41.8781,-87.6298,106,33,5
TXN-10055,CUST-0193,2025-01-04,Leadership Biography,Books,1,30.51,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-11512,CUST-0357,2025-01-04,Smartphone,Electronics,2,1793.58,26,Male,Chicago,IL,41.8781,-87.6298,52,52,5
TXN-11195,CUST-0099,2025-01-07,Monitor,Electronics,2,634.53,30,Female,Boston,MA,42.3601,-71.0589,41,23,4
TXN-12913,CUST-0452,2025-01-08,Smartwatch,Electronics,1,256.72,60,Male,New York,NY,40.7128,-74.006,52,38,4
TXN-13286,CUST-0352,2025-01-09,Chef Knife Set,Home & Kitchen,1,140.15,39,Male,Orlando,FL,28.5383,-81.3792,60,39,4
TXN-10604,CUST-0119,2025-01-10,Sunglasses,Apparel,1,145.07,36,Male,Chicago,IL,41.8781,-87.6298,69,43,4
TXN-11618,CUST-0094,2025-01-10,Self-Improvement Guide,Books,2,37.51,22,Female,Orlando,FL,28.5383,-81.3792,27,45,4
TXN-10093,CUST-0083,2025-01-11,Monitor,Electronics,3,1034.1,49,Female,Chicago,IL,41.8781,-87.6298,56,33,5
TXN-12055,CUST-0070,2025-01-11,Skincare Serum,Beauty & Health,2,128.84,31,Male,Seattle,WA,47.6062,-122.3321,73,42,5
TXN-12056,CUST-0070,2025-01-11,Dior Perfume,Beauty & Health,1,102.34,31,Male,Seattle,WA,47.6062,-122.3321,73,42,5
TXN-11165,CUST-0462,2025-01-13,Designer Jacket,Apparel,1,199.3,32,Male,Chicago,IL,41.8781,-87.6298,106,33,5
TXN-10305,CUST-0158,2025-01-14,Self-Improvement Guide,Books,1,17.67,50,Male,Chicago,IL,41.8781,-87.6298,72,55,4
TXN-13258,CUST-0119,2025-01-16,Espresso Machine,Home & Kitchen,2,919.77,36,Male,Chicago,IL,41.8781,-87.6298,69,43,4
TXN-13847,CUST-0351,2025-01-16,Smartphone,Electronics,1,771.96,55,Non-binary,Chicago,IL,41.8781,-87.6298,74,22,5
TXN-10672,CUST-0115,2025-01-17,Blender,Home & Kitchen,4,409.04,35,Female,Seattle,WA,47.6062,-122.3321,82,31,5
TXN-12714,CUST-0484,2025-01-17,Headphones,Electronics,1,135.32,48,Male,Miami,FL,25.7617,-80.1918,71,31,5
TXN-13842,CUST-0193,2025-01-17,Keyboard & Mouse,Electronics,1,83.47,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-11420,CUST-0213,2025-01-19,Smartwatch,Electronics,2,518.64,26,Female,Orlando,FL,28.5383,-81.3792,115,85,5
TXN-12647,CUST-0193,2025-01-19,Blender,Home & Kitchen,1,91.97,18,Female,Boston,MA,42.3601,-71.0589,25,19,4
TXN-13148,CUST-0148,2025-01-19,Sunglasses,Apparel,2,288.68,54,Female,Orlando,FL,28.5383,-81.3792,109,59,4
TXN-14133,CUST-0083,2025-01-19,Chef Knife Set,Home & Kitchen,1,145.41,49,Female,Chicago,IL,41.8781,-87.6298,56,33,5
TXN-11304,CUST-0352,2025-01-20,Sports T-Shirt,Apparel,1,32.68,39,Male,Orlando,FL,28.5383,-81.3792,60,39,4
TXN-11989,CUST-0077,2025-01-20,Headphones,Electronics,1,153.43,52,Female,New York,NY,40.7128,-74.006,29,44,5
TXN-13695,CUST-0115,2025-01-21,Blender,Home & Kitchen,3,300.29,35,Female,Seattle,WA,47.6062,-122.3321,82,31,5
TXN-11584,CUST-0022,2025-01-22,Sunglasses,Apparel,1,129.74,55,Male,Miami,FL,25.7617,-80.1918,76,48,4
TXN-11913,CUST-0316,2025-01-22,Dior Perfume,Beauty & Health,3,304.81,31,Female,Seattle,WA,47.6062,-122.3321,47,52,3
TXN-11940,CUST-0303,2025-01-22,Leadership Biography,Books,2,57.19,31,Female,New York,NY,40.7128,-74.006,60,26,4
TXN-13733,CUST-0100,2025-01-23,Air Fryer,Home & Kitchen,2,217.42,47,Female,San Francisco,CA,37.7749,-122.4194,68,28,5
TXN-12392,CUST-0072,2025-01-24,Skincare Serum,Beauty & Health,1,62.59,55,Female,San Francisco,CA,37.7749,-122.4194,62,61,5
TXN-12623,CUST-0351,2025-01-24,Self-Improvement Guide,Books,3,56.03,55,Non-binary,Chicago,IL,41.8781,-87.6298,74,22,5
TXN-11080,CUST-0186,2025-01-25,Monitor,Electronics,2,712.95,37,Female,San Francisco,CA,37.7749,-122.4194,55,38,4
TXN-10057,CUST-0083,2025-01-26,Smartwatch,Electronics,1,240.64,49,Female,Chicago,IL,41.8781,-87.6298,56,33,5
TXN-13383,CUST-0402,2025-01-26,Hoodie,Apparel,1,59.74,49,Male,Chicago,IL,41.8781,-87.6298,43,53,3
TXN-13487,CUST-0308,2025-01-26,Electric Toothbrush,Beauty & Health,2,168.95,43,Female,New York,NY,40.7128,-74.006,38,52,4
TXN-11542,CUST-0100,2025-01-27,Keyboard & Mouse,Electronics,1,74.3,47,Female,San Francisco,CA,37.7749,-122.4194,68,28,5
TXN-13141,CUST-0150,2025-01-27,Electric Toothbrush,Beauty & Health,1,91.53,28,Female,Boston,MA,42.3601,-71.0589,87,89,5
TXN-10222,CUST-0199,2025-01-28,Hoodie,Apparel,1,60.21,26,Female,Orlando,FL,28.5383,-81.3792,74,35,3
TXN-12276,CUST-0137,2025-01-29,Multivitamins,Beauty & Health,1,22.66,37,Female,Austin,TX,30.2672,-97.7431,58,23,5
TXN-12285,CUST-0047,2025-01-29,Dior Perfume,Beauty & Health,1,124.37,46,Male,Austin,TX,30.2672,-97.7431,67,87,5
TXN-12444,CUST-0384,2025-01-30,Machine Learning Basics,Books,2,100.71,30,Female,Houston,TX,29.7604,-95.3698,112,76,4
TXN-10523,CUST-0303,2025-01-31,Dior Perfume,Beauty & Health,1,105.74,31,Female,New York,NY,40.7128,-74.006,60,26,4
TXN-10932,CUST-0412,2025-01-31,SaaS Marketing Playbook,Books,2,48.42,41,Male,Orlando,FL,28.5383,-81.3792,25,37,4
